@relation 'bigTable-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Remove-R33,35-38'

@attribute RF_10 numeric
@attribute RF_5 numeric
@attribute RF_3 numeric
@attribute RF_1 numeric
@attribute J4_10 numeric
@attribute J4_5 numeric
@attribute J4_3 numeric
@attribute J4_1 numeric
@attribute OR_10 numeric
@attribute OR_5 numeric
@attribute OR_3 numeric
@attribute OR_1 numeric
@attribute CS_10 numeric
@attribute CS_5 numeric
@attribute CS_3 numeric
@attribute CS_1 numeric
@attribute IG_10 numeric
@attribute IG_5 numeric
@attribute IG_3 numeric
@attribute IG_1 numeric
@attribute P_10 numeric
@attribute P_5 numeric
@attribute P_3 numeric
@attribute P_1 numeric
@attribute PCA_10 numeric
@attribute PCA_5 numeric
@attribute PCA_3 numeric
@attribute PCA_1 numeric
@attribute R_10 numeric
@attribute R_5 numeric
@attribute R_3 numeric
@attribute R_1 numeric
@attribute Recall numeric

@data
0.274,0.288,0.297,0.317,0,0,0,0,94.8,94.9,95,95.3,34.8,62.3,76.9,92.2,0.028,0.045,0.05,0.057,0.085,0.093,0.1,0.127,0.513,0.646,0.725,0.819,0.108,0.121,0.125,0.127,0.666667
0.547,0.583,0.619,0.701,0.052,0.057,0.058,0.058,99.4,99.9,100,100,18903,20164.8,20473.7,20497.9,0.3,0.316,0.32,0.321,0.199,0.29,0.353,0.423,0.311,0.459,0.565,0.718,0.18,0.212,0.233,0.28,1
0.209,0.213,0.215,0.219,0.043,0.046,0.047,0.047,95.9,96.3,96.4,96.4,10406.7,10971,11138.6,11168.3,0.181,0.19,0.193,0.194,0.039,0.052,0.06,0.091,0.308,0.452,0.561,0.721,0.052,0.061,0.067,0.091,0.654971
0.215,0.222,0.226,0.233,0.043,0.046,0.047,0.047,96,96.3,96.4,96.4,10281.3,11038.6,11127.3,11167.9,0.179,0.192,0.194,0.196,0.202,0.264,0.309,0.35,0.296,0.433,0.537,0.736,0.056,0.064,0.072,0.1,0.504519
0.208,0.212,0.214,0.218,0.023,0.024,0.024,0.025,96.1,96.2,96.2,96.3,7421.7,7627.6,7707.6,7795.5,0.104,0.107,0.108,0.11,0.135,0.234,0.31,0.398,0.311,0.46,0.566,0.72,0.051,0.06,0.066,0.087,0.666667
0.583,0.648,0.692,0.84,0.054,0.059,0.06,0.06,99.4,99.9,100,100,18250.4,19456.7,19755.1,19778.5,0.308,0.324,0.329,0.329,0.199,0.289,0.349,0.419,0.311,0.459,0.564,0.717,0.18,0.212,0.233,0.279,0.691122
0.634,0.762,0.818,0.911,0.012,0.013,0.013,0.013,99.9,100,100,100,17801.8,18673.4,18740,18765.8,0.096,0.099,0.1,0.1,0.421,0.624,0.771,0.933,0.295,0.432,0.537,0.736,0.373,0.421,0.456,0.481,1
0.103,0.105,0.106,0.108,0.013,0.013,0.013,0.013,100,100,100,100,18841,18841,18841,18841,0.1,0.1,0.1,0.1,0.012,0.026,0.042,0.061,0.307,0.452,0.561,0.722,0.854,0.899,0.933,0.951,1
0.751,0.838,0.909,0.988,0.034,0.036,0.037,0.037,99.8,100,100,100,18452,19304,19304,19304,0.22,0.227,0.227,0.227,0.106,0.115,0.126,0.157,0.292,0.426,0.53,0.733,0.195,0.216,0.239,0.29,1
0.208,0.215,0.221,0.233,0,0,0,0,96.3,96.3,96.3,96.3,22.4,44.8,63.8,72.2,0.001,0.002,0.003,0.003,0.009,0.011,0.011,0.012,0.29,0.424,0.529,0.733,0.053,0.062,0.068,0.089,0.340708
0.602,0.716,0.776,0.918,0.045,0.047,0.049,0.056,98.6,98.8,99,99.6,5878.8,6085.2,6301.7,6896.8,0.276,0.283,0.291,0.313,0.191,0.29,0.325,0.358,0.303,0.442,0.531,0.675,0.163,0.185,0.211,0.217,1
0.214,0.221,0.224,0.225,0.039,0.04,0.041,0.046,95.7,95.8,95.9,96.3,3464.9,3559,3654.3,3990.5,0.174,0.178,0.182,0.194,0.046,0.058,0.064,0.067,0.293,0.431,0.522,0.672,0.056,0.062,0.067,0.069,0.652632
0.214,0.219,0.223,0.223,0.038,0.044,0.044,0.045,95.8,96.5,96.5,96.7,3478.4,3849,3934.5,3974.6,0.173,0.191,0.196,0.2,0.209,0.261,0.283,0.301,0.282,0.41,0.498,0.65,0.058,0.063,0.067,0.071,0.678195
0.216,0.221,0.224,0.231,0.022,0.023,0.024,0.025,96.2,96.3,96.4,96.4,2646.9,2754.5,2812.2,2862.2,0.105,0.109,0.11,0.111,0.139,0.233,0.27,0.298,0.302,0.442,0.531,0.675,0.055,0.061,0.066,0.071,0.578947
0.567,0.637,0.692,0.782,0.046,0.048,0.05,0.057,98.6,98.8,98.9,99.6,5702.5,5922.6,6136.7,6678,0.283,0.29,0.299,0.32,0.195,0.295,0.33,0.366,0.303,0.443,0.531,0.675,0.162,0.184,0.21,0.217,0.661654
0.783,0.857,0.888,0.995,0.011,0.012,0.012,0.013,99.8,99.9,99.9,100,5984.2,6390.9,6492.8,6546,0.092,0.096,0.097,0.098,0.43,0.588,0.669,0.734,0.281,0.41,0.498,0.65,0.386,0.452,0.491,0.6,1
0.11,0.112,0.114,0.119,0.013,0.013,0.013,0.013,100,100,100,100,6551,6551,6551,6551,0.103,0.103,0.103,0.103,-0.009,0.003,0.008,0.019,0.293,0.431,0.523,0.673,0.772,0.836,0.893,0.95,1
0.637,0.696,0.736,0.792,0.031,0.035,0.036,0.036,99.4,99.8,99.9,100,6063.6,6654.7,6709,6709,0.21,0.225,0.227,0.227,0.1,0.112,0.126,0.192,0.271,0.397,0.486,0.643,0.176,0.196,0.216,0.223,1
0.203,0.209,0.21,0.211,0,0,0,0,96.6,96.6,96.6,96.6,53.2,77.2,88.2,94.5,0.004,0.005,0.006,0.007,0.04,0.044,0.049,0.052,0.268,0.394,0.483,0.641,0.057,0.063,0.067,0.067,0.5
0.291,0.312,0.318,0.329,0.032,0.04,0.048,0.051,98.1,99.1,99.6,99.9,19814.2,24077.3,25573.8,26512.2,0.247,0.286,0.298,0.31,0.151,0.259,0.346,0.373,0.358,0.51,0.619,0.788,0.114,0.13,0.146,0.187,0.782099
0.226,0.253,0.266,0.272,0.028,0.034,0.041,0.044,95.2,96,96.5,96.7,10599.5,12248.7,14007.5,14948.5,0.146,0.165,0.185,0.198,0.176,0.239,0.287,0.31,0.302,0.455,0.571,0.751,0.041,0.049,0.055,0.071,0.392999
0.227,0.25,0.262,0.271,0.021,0.03,0.039,0.044,95,96.3,96.4,96.6,8652,10782.5,13118.6,14692.5,0.122,0.146,0.172,0.192,0.076,0.14,0.208,0.325,0.344,0.482,0.574,0.73,0.038,0.044,0.049,0.056,0.458632
0.221,0.246,0.261,0.268,0.018,0.019,0.019,0.021,96.1,96.3,96.4,96.5,8342.8,8817.2,9165.2,9311.7,0.086,0.092,0.095,0.098,0.166,0.27,0.369,0.403,0.356,0.508,0.618,0.787,0.036,0.043,0.048,0.068,0.45187
0.311,0.334,0.35,0.386,0.033,0.042,0.05,0.053,98.1,99.1,99.6,99.9,19172.1,23284.7,24716.1,25651.4,0.253,0.292,0.305,0.318,0.152,0.262,0.351,0.378,0.358,0.51,0.619,0.789,0.114,0.13,0.146,0.186,0.320207
0.408,0.458,0.48,0.512,0.007,0.008,0.008,0.009,99.5,99.6,99.8,99.8,15438.8,17538.5,19000.3,20215.5,0.063,0.069,0.073,0.079,0.09,0.159,0.225,0.27,0.342,0.48,0.573,0.73,0.213,0.249,0.262,0.28,0.837278
0.331,0.52,0.633,0.81,0.013,0.013,0.013,0.013,100,100,100,100,24648,24648,24648,24648,0.098,0.098,0.098,0.098,0.514,0.715,0.808,0.874,0.299,0.452,0.569,0.75,0.87,0.971,0.988,1,1
0.301,0.313,0.325,0.363,0.02,0.027,0.033,0.036,98.7,99.8,99.8,100,18706.3,24472.3,24804.6,25255,0.183,0.217,0.22,0.225,0.099,0.18,0.237,0.394,0.285,0.42,0.516,0.687,0.139,0.169,0.2,0.232,0.616255
0.223,0.247,0.26,0.27,0,0,0,0,96.5,96.6,96.6,96.6,31,54,74.8,123.6,0.001,0.002,0.002,0.003,0.013,0.015,0.015,0.016,0.282,0.417,0.514,0.686,0.042,0.051,0.059,0.062,0.432886
0.23,0.23,0.285,0.301,0.047,0.047,0.053,0.057,99,99,99.7,100,10490.8,10490.8,11679,12122,0.281,0.281,0.306,0.316,-0.003,-0.003,0.018,0.022,0.287,0.287,0.449,0.685,0.154,0.154,0.182,0.234,1
0.194,0.194,0.206,0.209,0.039,0.039,0.043,0.045,95.6,95.6,96.1,96.2,5474.2,5474.2,6030.2,6291.8,0.162,0.162,0.176,0.184,-0.027,-0.027,-0.015,0,0.29,0.29,0.454,0.693,0.031,0.031,0.042,0.047,0.681743
0.196,0.196,0.205,0.211,0.036,0.036,0.04,0.043,95.5,95.5,95.9,96.2,5333.4,5333.4,5772.2,6156.5,0.156,0.156,0.167,0.178,0.112,0.112,0.116,0.12,0.298,0.298,0.467,0.706,0.03,0.03,0.043,0.049,0.699836
0.193,0.193,0.208,0.22,0.02,0.02,0.025,0.027,95.5,95.5,96,96.2,3867.9,3867.9,4520.1,4738.9,0.101,0.101,0.114,0.118,-0.044,-0.044,-0.032,-0.013,0.289,0.289,0.453,0.69,0.029,0.029,0.042,0.047,0.559211
